行政區,類型,學校,2歲,3-5歲,錄取1(2歲),錄取1(3-5歲),備取1(2歲),備取1(3-5歲)
安南區,公幼,和順國小附設幼兒園,11,0,6,0,0,0
安南區,公幼,海東國小附設幼兒園,,23,0,3,0,0
安南區,公幼,安慶國小附設幼兒園,2,0,2,0,3,0
安南區,公幼,安順國小附設幼兒園,5,15,5,4,2,0
安南區,公幼,顯宮國小附設幼兒園,,4,0,0,0,0
安南區,公幼,青草國小附設幼兒園,,15,0,0,0,0
安南區,公幼,安佃國小附設幼兒園,,10,0,1,0,0
安南區,公幼,鎮海國小附設幼兒園,,7,0,3,0,0
安南區,公幼,長安國小附設幼兒園,,0,0,0,0,0
安南區,公幼,土城國小附設幼兒園,,5,0,0,0,0
安南區,公幼,學東國小附設幼兒園,,11,0,0,0,0
安南區,公幼,海佃國中附設幼兒園,,7,0,0,0,0
安南區,公幼,南興國小附設幼兒園,,7,0,0,0,0
安南區,公幼,九份子國中小附設幼兒園,,0,0,0,0,0
安南區,非營利,崑山土城非營利幼兒園,0,9,0,3,0,0
安南區,非營利,中信員工子女非營利幼兒園,18,37,5,3,0,0
西港區,公幼,西港國小附設幼兒園,,0,0,0,0,0
西港區,公幼,西港成功國小附設幼兒園,0,0,0,0,0,0
西港區,公幼,後營國小附設幼兒園,6,9,1,0,0,0
西港區,公幼,港東國小附設幼兒園,,13,0,0,0,0
佳里區,公幼,通興國小附設幼兒園,,0,0,0,0,0
佳里區,公幼,佳里國小附設幼兒園,,0,0,0,0,0
佳里區,公幼,佳興國小附設幼兒園,0,0,0,0,0,0
佳里區,公幼,仁愛國小附設幼兒園,,15,0,1,0,0
佳里區,公幼,延平國小附設幼兒園,,7,0,0,0,0
佳里區,公幼,子龍國小附設幼兒園,,13,0,2,0,0
佳里區,公幼,塭內國小附設幼兒園,,0,0,0,0,0
佳里區,公幼,信義國小附設幼兒園,,9,0,1,0,0
佳里區,非營利,伯利恆佳里非營利幼兒園,0,15,0,0,0,0
官田區,公幼,官田國小附設幼兒園,,4,0,1,0,0
官田區,公幼,渡拔國小附設幼兒園,,9,0,2,0,0
官田區,公幼,隆田國小附設幼兒園,0,0,0,0,0,0
東山區,公幼,東山國小附設幼兒園,8,1,1,1,0,1
東山區,公幼,東原國小附設幼兒園,,11,0,0,0,0
東山區,公幼,青山國小附設幼兒園,,16,0,0,0,0
東山區,公幼,吉貝耍國小附設幼兒園,,7,0,0,0,0
東山區,公幼,聖賢國小附設幼兒園,,7,0,0,0,0
東區,公幼,博愛國小附設幼兒園,10,18,4,1,0,0
東區,公幼,崇明國小附設幼兒園,0,0,0,0,0,0
東區,公幼,崇學國小附設幼兒園,,0,0,0,0,0
東區,公幼,復興國小附設幼兒園,,14,0,5,0,0
東區,公幼,大同國小附設幼兒園,,2,0,0,0,0
東區,公幼,德高國小附設幼兒園,,14,0,2,0,0
東區,公幼,勝利國小附設幼兒園,,13,0,1,0,0
東區,公幼,東光國小附設幼兒園,0,0,0,0,0,0
東區,公幼,忠孝國中附設幼兒園,4,0,4,0,5,0
東區,非營利,全人裕文非營利幼兒園,0,62,0,0,0,0
東區,非營利,臺灣文學館員工子女非營利幼兒園,0,30,0,3,0,0
東區,非營利,成大員工子女非營利幼兒園,0,0,0,0,0,0
南化區,公幼,南化國小附設幼兒園,,7,0,0,0,0
南化區,公幼,北寮國小附設幼兒園,,6,0,0,0,0
南化區,公幼,瑞峰國小附設幼兒園,,5,0,0,0,0
南區,公幼,喜樹國小附設幼兒園,11,31,2,1,0,0
南區,公幼,臺南市立第二幼兒園,,22,0,2,0,0
南區,公幼,臺南市立第二幼兒園明德分班,4,6,0,0,0,0
南區,公幼,日新國小附設幼兒園,0,1,0,1,0,6
南區,公幼,龍崗國小附設幼兒園,,3,0,3,0,0
南區,公幼,省躬國小附設幼兒園,8,5,4,2,0,0
南區,公幼,永華國小附設幼兒園,13,0,3,0,0,0
南區,公幼,新興國小附設幼兒園,7,0,4,0,0,0
南區,非營利,擇仁非營利幼兒園,2,10,1,2,0,0
南區,非營利,水交社非營利幼兒園,6,24,4,4,0,0
後壁區,公幼,菁寮國小附設幼兒園,,2,0,0,0,0
後壁區,公幼,後壁國小附設幼兒園,0,1,0,1,0,0
後壁區,公幼,安溪國小附設幼兒園,,8,0,1,0,0
後壁區,公幼,新東國小附設幼兒園,6,0,0,0,0,0
後壁區,公幼,新嘉國小附設幼兒園,,4,0,1,0,0
柳營區,公幼,柳營國小附設幼兒園,,6,0,1,0,0
柳營區,公幼,果毅國小附設幼兒園,,4,0,0,0,0
柳營區,公幼,重溪國小附設幼兒園,2,6,2,2,0,0
柳營區,公幼,太康國小附設幼兒園,,6,0,1,0,0
柳營區,公幼,新山國小附設幼兒園,,4,0,0,0,0
將軍區,公幼,漚汪國小附設幼兒園,,0,0,0,0,0
將軍區,公幼,鯤鯓國小附設幼兒園,,14,0,0,0,0
將軍區,公幼,臺南市立將軍幼兒園,22,0,1,0,0,0
將軍區,公幼,將軍國小附設幼兒園,,11,0,0,0,0
將軍區,公幼,苓和國小附設幼兒園,,3,0,0,0,0
麻豆區,公幼,安業國小附設幼兒園,,2,0,0,0,0
麻豆區,公幼,麻豆國小附設幼兒園,0,0,0,0,0,0
麻豆區,公幼,文正國小附設幼兒園,,8,0,2,0,0
麻豆區,公幼,北勢國小附設幼兒園,,7,0,0,0,0
麻豆區,公幼,大山國小附設幼兒園,,5,0,0,0,0
麻豆區,公幼,培文國小附設幼兒園,0,0,0,0,0,0
麻豆區,公幼,臺南市立麻豆幼兒園,0,0,0,0,0,0
麻豆區,公幼,紀安國小附設幼兒園,,4,0,0,0,0
麻豆區,公幼,港尾國小附設幼兒園,,9,0,0,0,0
麻豆區,非營利,西拉雅非營利幼兒園,0,0,0,0,0,0
善化區,公幼,善化國小附設幼兒園,,11,0,3,0,0
善化區,公幼,茄拔國小附設幼兒園,0,11,0,6,0,0
善化區,公幼,善化大同國小附設幼兒園,,15,0,4,0,0
善化區,公幼,大成國小附設幼兒園,,0,0,0,0,0
善化區,公幼,陽明國小附設幼兒園,,14,0,3,0,0
善化區,公幼,善糖國小附設幼兒園,,12,0,0,0,0
善化區,公幼,小新國小附設幼兒園,0,0,0,0,0,0
善化區,公幼,蓮潭國中小附設幼兒園,,0,0,0,0,0
新化區,公幼,正新國小附設幼兒園,9,6,3,1,0,0
新化區,公幼,新化國小附設幼兒園,10,4,2,0,0,0
新化區,公幼,那拔國小附設幼兒園,6,0,2,0,0,0
新化區,公幼,大新國小附設幼兒園,6,0,3,0,0,0
新市區,公幼,新市國小附設幼兒園,2,0,2,0,14,0
新市區,公幼,大社國小附設幼兒園,0,0,0,0,0,12
新市區,公幼,臺南市立新市幼兒園,0,0,0,0,0,0
新市區,非營利,聯苑員工子女非營利幼兒園,0,0,0,0,0,0
新市區,非營利,南科管理局非營利幼兒園,0,0,0,0,0,0
新營區,公幼,新營國小附設幼兒園,,25,0,5,0,0
新營區,公幼,新民國小附設幼兒園,,6,0,1,0,0
新營區,公幼,新營新興國小附設幼兒園,,1,0,1,0,0
新營區,公幼,新進國小附設幼兒園,,15,0,4,0,0
新營區,公幼,南梓實驗小學附設幼兒園,3,0,1,0,0,0
新營區,公幼,土庫國小附設幼兒園,,9,0,0,0,0
新營區,公幼,公誠國小附設幼兒園,3,0,1,0,0,0
新營區,公幼,新泰國小附設幼兒園,0,0,0,0,0,0
新營區,公幼,新生國小附設幼兒園,,6,0,0,0,0
新營區,非營利,南新非營利幼兒園,0,0,0,0,0,0
楠西區,公幼,楠西國小附設幼兒園,,3,0,0,0,0
學甲區,公幼,學甲國小附設幼兒園,,2,0,2,0,0
學甲區,公幼,東陽國小附設幼兒園,,0,0,0,0,0
學甲區,公幼,臺南市立學甲幼兒園,12,0,6,0,0,0
學甲區,公幼,宅港國小附設幼兒園,,0,0,0,0,0
學甲區,公幼,中洲國小附設幼兒園,,0,0,0,0,0
學甲區,公幼,頂洲國小附設幼兒園,,0,0,0,0,0
學甲區,非營利,慈母非營利幼兒園,0,0,0,0,0,0
龍崎區,公幼,龍崎國小附設幼兒園,,8,0,0,0,0
歸仁區,公幼,大潭國小附設幼兒園,,2,0,2,0,0
歸仁區,公幼,歸仁國小附設幼兒園,0,4,0,1,0,0
歸仁區,公幼,保西國小附設幼兒園,1,0,0,0,0,0
歸仁區,公幼,臺南市立歸仁幼兒園,0,0,0,0,0,0
歸仁區,公幼,歸南國小附設幼兒園,0,8,0,1,0,0
歸仁區,公幼,文化國小附設幼兒園,,10,0,1,0,0
歸仁區,公幼,沙崙高中附設幼兒園,,12,0,3,0,0
關廟區,公幼,關廟國小附設幼兒園,0,0,0,0,0,0
關廟區,公幼,五甲國小附設幼兒園,1,11,0,2,0,0
關廟區,公幼,文和實驗小學附設幼兒園,,3,0,0,0,0
關廟區,公幼,崇和國小附設幼兒園,,2,0,1,0,0
關廟區,公幼,臺南市立關廟幼兒園,0,0,0,0,0,0
關廟區,公幼,深坑國小附設幼兒園,,0,0,0,0,0
關廟區,公幼,保東國小附設幼兒園,,9,0,1,0,0
鹽水區,公幼,鹽水國小附設幼兒園,5,0,3,0,0,0
鹽水區,公幼,歡雅國小附設幼兒園,,10,0,0,0,0
鹽水區,公幼,坔頭港國小附設幼兒園,,11,0,0,0,0
鹽水區,公幼,岸內國小附設幼兒園,,5,0,0,0,0
鹽水區,公幼,文昌國小附設幼兒園,,13,0,0,0,0
鹽水區,公幼,月津國小附設幼兒園,1,1,0,1,0,1
鹽水區,公幼,竹埔國小附設幼兒園,,5,0,1,0,0
鹽水區,公幼,仁光國小附設幼兒園,,13,0,0,0,0
